date, PGP, MRK, HSB, MC, FP, OR, LLY, SAN, DGE, AIR, CATR, VALE3, CDI, SLB, BNP, SAF, RMS, CS, KER, AI, DG, BN, ORA, RI, SU, ACA, ENGI, VIV, DSY, GLE, LHN, HO, SGO, RNO, CAP, UG, ML, KN, LR, CNP, SW, CA, EN, PUB, AM, BOL, STM, AC, IAM, VIE, AMUN, IPN, FTI, GFC, LI, ALO, DIM, FGR, BVI, SESG, SEV, TEP, SCR, ATO, BIM, UBI, EDEN, ILD, ERF, COV, FR, AKE, DEC, GET, WLN, ORP, SK, EO, ICAD, ODET, RCO, RF, MF, RE, AF, BB
1/2/2017,72.971748,52.1782,6.572222,174.875473,44.036186,167.225021,61.826145,69.894936,23.625692,60.620712,90.407738,7.247767,195.707336,73.663834,54.838577,66.74913,386.63208,21.836401,193.135269,100.552216,61.029819,57.00708,13.300633,99.95945,64.127747,10.401632,10.904119,17.329105,72.08741,42.284153,48.385075,87.657799,41.885704,78.240318,78.154602,14.871387,100.861969,4.836165,52.770741,16.27499,101.573036,21.917179,31.474751,62.161777,1044.202026,3.272397,10.485209,34.049011,0.884166,14.976026,45.47813,67.297714,33.391556,117.109367,33.714352,25.947182,60.391541,64.036995,17.671877,18.592293,12.793383,94.713913,30.296423,98.888481,46.573299,33.98,18.235491,182.44281,408.080963,76.687302,52.727982,89.663185,26.847418,8.757888,26.775,76.496864,126.772865,35.075443,61.399708,728.384644,78.577309,53.2952,110.076271,134.517319,5.155,120.435143
1/3/2017,74.082382,53.109955,6.744495,172.855453,44.153496,164.043442,61.826145,70.307983,23.941341,61.276909,86.696259,7.247767,195.220886,74.104889,56.265198,66.914711,384.964508,22.098728,190.906235,100.79071,61.690613,56.81781,13.318891,99.814362,63.671776,10.739346,10.868455,17.343472,71.504158,43.87077,47.928066,86.54084,42.367638,79.224068,77.515099,15.36061,100.437386,5.033194,53.004234,16.408203,101.111549,22.072254,31.64043,62.443745,1061.758423,3.435532,10.228051,34.878429,0.887554,14.797412,45.631905,67.879227,34.082546,114.496872,32.777214,26.359976,59.868538,64.238884,17.695602,18.954508,12.680974,95.376389,30.687695,99.909462,47.047005,33.549999,18.872225,184.727066,410.261383,75.624115,53.379654,89.634445,27.078115,8.794969,26.77,75.408257,125.25901,35.900188,60.594761,762.309448,78.906898,53.2952,111.422188,134.376205,5.174,120.388657
1/4/2017,73.265465,53.575829,6.744495,171.316406,44.130932,163.754242,61.826145,70.307983,23.912643,61.180412,86.696259,7.04644,191.669647,74.692947,57.064835,66.729645,381.874573,22.356531,188.36644,100.695313,61.275265,57.309906,13.423872,100.007813,63.875507,10.787526,10.872911,17.439238,71.949013,43.483131,48.163788,86.187599,42.240067,78.810341,77.708878,15.346362,98.125771,5.052001,52.829109,16.49548,100.650063,22.03936,31.437927,62.039604,1070.026001,3.441358,10.106751,35.669716,0.887554,14.747034,45.324356,69.909584,33.946304,115.913788,33.019344,26.006151,59.562637,64.123512,17.795254,18.826406,12.61807,94.538559,30.614902,99.180191,47.047005,32.990002,18.522739,182.194519,406.941223,75.999893,52.124226,89.366272,26.808968,8.786411,26.555,75.221916,123.354485,35.658455,61.363934,771.189758,78.073235,53.2286,110.749229,134.987656,5.237,119.877357
1/5/2017,74.339386,52.653389,6.666973,170.21019,44.153496,164.18808,61.826145,70.281044,23.912643,62.338398,86.696259,7.04644,190.210236,74.08651,56.537804,65.999146,380.599396,22.347485,186.850067,100.743011,61.492378,57.86824,13.506031,100.394691,64.069542,10.813846,10.855082,17.467968,72.057755,42.459942,48.394695,85.815285,42.126671,79.168907,77.970497,15.541101,98.739059,5.010805,52.29401,16.463326,100.280869,22.025259,31.286058,62.359154,1082.816528,3.4433,10.087344,36.217892,0.884166,14.467664,45.030312,70.175705,33.649464,114.630211,33.077637,25.809584,59.72052,64.431152,17.762037,18.746897,12.640497,95.045151,30.260025,99.180191,46.883614,31.565001,18.661575,185.124329,408.82428,76.045723,52.842979,89.442902,27.179047,8.796869,26.42,74.898277,122.91497,36.397881,61.265553,773.285095,78.344658,53.5905,110.172409,136.398682,5.314,120.481628
1/6/2017,73.476578,52.290009,6.701427,172.422607,44.009121,164.139862,67.20314,68.862328,23.912643,62.859493,86.696259,6.964079,190.793991,74.564323,56.78315,65.940697,383.247894,22.614332,189.836807,101.172318,62.049347,57.783073,13.501466,101.26516,64.457611,10.818219,10.841707,17.554159,72.047867,42.6763,48.567879,85.471603,42.367638,79.361977,77.670128,15.693091,98.833412,4.982146,52.3913,16.504669,99.957832,21.921879,31.387306,63.017048,1062.974243,3.493794,9.907819,36.117786,0.951918,14.321111,45.11628,70.698082,33.328297,116.312927,33.265961,26.133923,60.016556,64.854164,17.99456,18.605543,12.532647,95.376389,30.005239,99.958076,46.997993,31.174999,18.652002,186.514755,409.96405,76.302353,52.871731,88.638405,26.933929,8.823492,25.785,74.47657,123.110313,36.01395,61.972118,779.27179,77.753334,53.7714,110.220482,137.339355,5.275,119.923836
1/9/2017,73.430679,52.672024,6.623904,174.057846,43.390987,165.200394,67.20314,69.60759,23.912643,62.994595,84.621635,7.284371,192.010193,73.79248,55.601868,65.853035,383.885468,22.266073,192.867676,99.884399,62.304226,58.189995,13.492338,101.603683,64.457611,10.634061,10.743633,17.501486,72.522392,41.653118,48.077198,85.920303,42.405434,78.810341,78.261177,15.740589,99.776924,4.879154,52.323196,16.330111,100.696198,21.451956,31.230831,62.970058,1061.369385,3.466605,10.194088,36.303692,0.908557,14.362329,45.007679,70.944489,33.284504,113.744881,32.871376,25.976667,60.125107,65.046432,18.008799,18.609961,12.501194,95.960915,29.354633,99.958076,46.850975,30.639999,18.680727,185.2733,415.018616,75.752426,52.335064,88.351082,26.852222,8.740772,25.495001,74.250992,123.989319,35.942848,60.818356,773.334961,77.714561,53.618999,109.451385,138.280045,5.192,119.412529
1/10/2017,73.33889,52.672024,6.649745,174.202133,43.521832,164.911163,67.20314,70.316956,23.893515,62.917389,84.621635,7.311825,193.810104,73.691399,55.292919,65.580315,388.643036,21.967564,193.135269,99.645905,62.219265,57.915558,13.337149,101.361885,65.301651,10.598996,10.636642,17.3722,72.067642,41.819885,48.183029,85.948936,42.514107,80.970909,78.852234,15.86883,98.597527,4.91229,51.963219,16.173931,100.603905,21.588232,31.175604,62.161777,1059.861816,3.456894,10.397872,36.527729,0.971566,13.913505,44.871975,70.974052,33.099586,113.21331,32.799637,26.242037,60.421143,65.604027,18.032526,18.362595,12.361801,96.779266,29.331888,100.103928,47.030636,30.875,18.915312,181.64827,409.666718,74.276787,52.804646,86.234482,27.030054,8.709396,25.635,73.564484,123.940491,37.60656,60.719975,764.354858,77.239578,53.418999,109.162987,136.869019,5.021,118.808266
1/11/2017,72.531143,54.982773,6.701427,176.270233,43.765472,165.682449,67.20314,69.428001,24.142206,63.168289,84.621635,7.476547,197.701889,74.58268,55.083923,65.872513,392.81192,22.017315,198.796097,100.599907,61.8983,57.537022,13.373663,101.361885,64.971794,10.581418,10.320128,17.286009,72.275246,41.824398,47.793369,85.843925,42.372364,81.412224,77.631371,16.40555,99.96563,4.869302,52.157803,16.141775,99.634781,21.428459,31.497761,62.00201,1060.445313,3.522925,10.494912,36.589699,0.907879,14.005102,45.577606,72.294769,33.819775,112.549301,32.606827,26.266607,59.996822,65.402138,17.932873,18.146149,12.271912,96.983856,29.300039,99.520515,47.096012,30.674999,19.140324,184.727066,408.279205,73.81852,52.747147,85.276749,27.2992,8.775002,25.43,73.034897,116.078232,38.033154,60.621586,770.291687,77.036011,54.0476,108.778435,137.809708,5.051,117.64621
1/12/2017,72.182358,53.883305,6.632517,179.444534,43.941441,164.28447,67.20314,68.727631,24.142206,62.425251,84.621635,8.02562,198.869415,73.369804,55.020317,65.463432,395.803772,21.637394,201.872055,99.407394,61.841667,57.527565,13.492338,100.733208,65.291954,10.629689,10.46724,17.02265,71.988556,41.36013,47.408524,85.232941,42.703098,79.297623,77.631371,16.087318,98.597527,4.870198,52.274551,16.063686,96.404381,21.184101,31.189407,60.517044,1065.55188,3.476315,10.354204,36.389488,0.902459,14.023422,45.496201,71.368301,33.284504,111.48616,32.476795,25.799755,58.802807,65.373306,17.894907,18.137312,12.276378,96.964363,28.913315,99.228813,47.733105,30.594999,19.102026,182.691086,404.562622,73.791031,52.181725,84.711678,27.039665,8.742673,25.385,72.475876,114.906219,37.445404,60.308556,770.291687,76.968147,53.828602,108.682297,137.809708,4.991,116.670082
1/13/2017,72.182358,54.125561,6.675586,181.753128,44.076801,165.296799,67.20314,70.101463,24.142206,63.341991,84.621635,8.236098,200.669357,74.068123,56.483284,65.891991,398.795563,22.021837,203.921692,100.122902,62.039902,57.281513,13.684041,102.71595,65.825539,11.041903,10.40483,17.496698,72.769531,42.798,48.635227,85.357048,43.090534,77.008331,78.077087,16.334305,99.918457,5.020656,52.848572,16.219868,95.758308,21.170002,32.473434,61.654263,1071.485107,3.535549,10.645326,36.789902,0.890264,14.06464,45.993755,72.876289,32.6665,111.39817,32.427475,26.207638,59.483688,65.536736,17.766783,18.287502,12.276378,97.383286,29.55027,100.249779,47.749474,31.215,19.154686,185.720215,409.319855,73.433571,53.849239,87.18264,28.068192,8.842509,25.09,74.496178,114.906219,37.8246,59.91502,781.267334,77.956909,54.285702,109.691727,138.656311,4.987,116.85601
