date, SBER, ROSN, LKOH, GAZP, NVTK, GMKN, TATN, SIBN, SNGS, NLMK, CHMF, PLZL, ALRS, YNDX, MAGN, MTSS, VTBR, RUAL, MGNT, IRAO, MFON, UNAC, POLY, BANE, PHOR, URKA, PIKK, HYDR, FEES, MOEX, RTKM, RSTI, VSMO, AKRN, KZOS, UPRO, MGTS, CBOM, NMTP, NKNC, AGRO, AFLT, LNTA, RASP, ROSB, AFKS, MSNG, RGSS, MVID, IRGZ, TRCN, LSRG, QIWI, CHEP, UWGN, SFIN, LSNG, ALNU, IRKT, TRMK, GCHE, MRKK, MTLR, MFGS, AVAN, APTK, PRTK, KMAZ, ENRU, OGKB, TGKA, MSRS, UCSS, MRKP, OPIN, UTAR, DVEC, KAZT
1/3/2017,163.327118,381.604736,3043.093994,130.400665,753.258972,8393.830078,361.89032,186.435074,29.820572,88.643425,675.827087,3891.740234,72.607765,1241,27.771664,201.936783,0.062652,27.236973,10342.12891,3.606657,552.292053,0.565,642.890442,3133.379395,2338.769287,166.75,273.313293,0.795183,0.173659,111.614655,68.683739,1.144137,10232.54492,2883.591797,38.049461,2.444686,620.833618,4.32032,4.647434,74.699997,811.919006,127.100647,510,81.699997,61.5,19.997103,2.170603,0.40784,388.399994,15.34,3309.967529,740.203247,781.54895,86.358459,789.627991,693.296387,5.203779,166358.6875,8.153925,75.152657,674.389282,22.200001,185.149994,520,391.04837,10.41,95.137222,47.79361,0.766839,0.488334,0.013703,0.817035,1044.413208,0.122975,350,10.38,0.699,82.605072
1/4/2017,159.545898,369.688141,2961.802734,130.185684,745.562927,8352.866211,362.865723,194.475372,29.69916,88.734985,683.376221,3891.740234,73.012184,1240,27.977787,199.36116,0.061924,27.127026,10226.40723,3.809711,554.649841,0.5665,661.872437,3129.905518,2351.396729,165.800003,271.62561,0.786633,0.173524,113.447258,68.041824,1.153326,10276.42969,2887.663818,38.226433,2.440492,605.855713,4.25433,4.640328,74.199997,815.908752,124.352158,501,80.440002,70.199997,20.389288,2.171037,0.40585,385.5,15.06,3300.79834,735.303711,783.547852,88.813759,787.143005,694.255371,5.208519,166358.6875,8.162731,75.105392,672.639893,22.35,181.669998,523,391.04837,10.41,95.898323,47.696957,0.756293,0.491806,0.013786,0.812609,1044.413208,0.12405,340,10.4,0.68,82.235062
1/5/2017,155.873489,362.956543,2876.255859,127.341179,727.669373,8213.582031,344.860657,191.879028,29.507704,88.506081,677.265015,3913.365479,73.120514,1252,27.721188,200.283783,0.060519,27.137022,9911.916992,3.838055,560.025635,0.549,660.873474,3128.168457,2322.53418,165.550003,268.906525,0.782699,0.172431,111.483749,68.033813,1.159877,10305.68555,2846.935547,38.491894,2.419518,608.851318,4.24933,4.640328,74.400002,813.913818,124.02536,492.5,79.790001,70.300003,20.306492,2.169735,0.40585,380.5,15.02,3273.291992,733.042419,778.55072,88.813759,787.640015,688.022339,5.279608,164128.6875,8.162731,73.73468,674.389282,22.75,181.259995,551,345.100189,10.41,97.135101,47.551987,0.758553,0.484205,0.013343,0.823232,1044.413208,0.122313,332,10.38,0.672,82.235062
1/6/2017,154.776291,357.043762,2864.338623,127.423874,726.226379,8225.87207,344.210327,191.250885,29.596428,88.324928,677.193115,3911.635742,72.694435,1291,27.599199,197.592819,0.060078,26.797184,9934.767578,3.950502,556.630432,0.54,653.380493,3130.339844,2325.240479,165,270.031647,0.799031,0.173188,109.581322,68.426971,1.177474,10451.96973,2765.478271,38.580383,2.407773,627.573669,4.27633,4.658094,73,817.903625,122.600853,490,80.699997,70.800003,20.480797,2.130679,0.40585,376.399994,15.02,3218.278564,731.911743,774.552979,90.507065,788.137024,693.296387,5.293827,164128.6875,8.14512,74.632729,673.514587,22,181.199997,545,345.100189,10.4,97.420517,47.358681,0.762319,0.48505,0.013047,0.827658,1044.413208,0.122892,332,10.29,0.666,82.235062
1/9/2017,152.654465,358.408295,2880.937256,127.671928,726.707397,8287.320313,346.120575,191.376511,29.232191,87.994133,683.735718,3909.906006,71.546165,1317,27.683327,198.66922,0.059748,26.757204,9860.894531,3.856641,557.667847,0.545,661.372986,3138.155762,2352.298584,165.149994,270.969269,0.799373,0.173263,111.52739,68.178238,1.195169,10547.05469,2793.988037,38.580383,2.443009,607.353455,4.28233,4.658094,72.900002,833.862732,119.936172,488,79.5,66.699997,20.376213,2.182319,0.40585,376.5,14.99,3241.200684,754.901794,775.552429,88.729088,790.622009,694.734802,5.293827,159222.6563,8.057064,74.5382,681.38678,21.799999,179.699997,552,345.100189,10.3,98.752441,47.407005,0.763826,0.495184,0.013805,0.835625,1034.831421,0.124629,332,10.29,0.683,82.235062
1/10/2017,155.601456,367.868774,2893.280029,130.623932,737.578125,8518.365234,348.396637,191.544006,29.246201,90.569679,691.644348,3913.365479,73.654922,1319.5,28.242798,196.593338,0.060315,27.077051,9601.189453,3.801347,571.060181,0.534,668.865845,3136.418945,2364.024658,165.199997,271.344299,0.822116,0.171791,113.403625,68.394875,1.222055,10503.16895,2863.227051,38.845848,2.458948,615.59137,4.29033,4.686519,72.900002,869.77063,124.075645,492.5,83.970001,65.900002,20.323921,2.299919,0.40387,374.600006,15.1,3250.369629,764.700806,767.557068,88.729088,792.609985,699.049927,5.303305,156546.6563,8.074676,74.68,673.514587,21.75,185.619995,540,345.100189,10.32,101.701691,47.310356,0.769099,0.513295,0.01508,0.834739,1039.622314,0.125787,331,10.33,0.691,82.512566
1/11/2017,153.2892,361.592133,2889.449219,129.830124,720.261902,8552.775391,350.55072,191.753403,29.232191,90.805969,691.428589,3909.036865,69.61795,1299,28.856956,197.669708,0.059435,27.236973,9114.44043,3.825509,573.135071,0.5305,667.367249,3124.694824,2484.886475,165.199997,267.875153,0.811429,0.172195,117.609901,68.282547,1.220002,10561.68359,2899.882813,39.199791,2.515158,615.59137,4.29933,4.796664,71.400002,852.814209,123.204178,490,89.5,68.199997,20.219341,2.248713,0.40486,373.5,15.31,3296.214111,766.208374,752.565735,88.813759,795.093994,696.652649,5.289087,160560.6719,8.118704,74.8218,682.261536,21.75,196.529999,524,389.093109,10.37,111.120277,46.730453,0.768345,0.510198,0.014988,0.821461,1068.367676,0.126283,334,10.27,0.686,81.772552
1/12/2017,152.581924,355.633759,2809.009766,130.028564,723.82135,8188.183594,356.037598,192.884048,29.288229,91.357307,686.827209,3909.036865,73.626038,1271.5,28.499397,198.323242,0.058876,26.967102,9005.060547,3.805994,574.266785,0.529,676.858215,3130.773682,2480.376465,167.899994,267.218811,0.829299,0.174315,120.079567,68.763977,1.231831,10722.59473,2883.591797,39.022816,2.488311,653.036072,4.29733,4.960106,72.199997,843.837219,132.321106,485.5,87.459999,69.300003,20.393646,2.288202,0.40288,374,15.06,3296.214111,780.906921,723.582397,87.967102,792.609985,698.091003,5.222737,161006.6719,8.153925,74.490936,689.259033,21.75,193.300003,538,408.645538,10.32,110.359177,47.890259,0.768345,0.502034,0.014452,0.820576,1044.413208,0.129012,334,10.2,0.683,81.95755
1/13/2017,149.526108,352.950256,2800.497803,130.607391,711.796143,7993.187988,352.054535,190.371475,29.334925,89.348854,677.696411,3915.094971,73.553818,1286.5,28.688694,202.167465,0.058622,26.927122,8786.310547,3.740478,577.190491,0.53,667.367249,3126.431641,2452.416016,165.25,269.281586,0.832035,0.17196,117.540092,68.667686,1.195658,10751.85059,2851.008545,38.845848,2.4816,644.049377,4.30832,4.981425,72.300003,847.827026,131.474762,485,91.489998,71.900002,21.265167,2.312937,0.40188,372.600006,14.99,3273.291992,784.298889,729.578979,91.353706,795.591003,698.091003,5.19904,159668.6719,8.14512,75.105392,709.377075,21.4,192,538,480.989502,10.25,111.025131,47.117058,0.754033,0.501096,0.014904,0.822347,1044.413208,0.128599,320,10.09,0.68,81.95755
1/16/2017,149.308487,356.770874,2757.936768,128.837845,712.9505,7997.284668,347.299286,188.696411,29.283558,89.002289,684.239075,3978.223633,72.939964,1305,29.021013,202.474976,0.058758,27.956629,8959.489258,3.666132,577.944946,0.543,669.864868,3129.471191,2483.984131,167.100006,270.406708,0.841269,0.17323,116.065277,68.162193,1.188033,10788.42383,2838.789795,38.93433,2.4816,661.273926,4.31432,5.034721,72.599998,847.827026,133.242844,479.5,90.650002,71,21.134439,2.332465,0.40387,369,15.03,3254.954102,791.459717,740.572632,86.951118,795.591003,697.611511,5.203779,159668.6719,8.409286,75.578049,718.123962,21.450001,193.600006,538,480.989502,10.26,112.261917,46.827106,0.761566,0.504193,0.014553,0.820576,1044.413208,0.133147,331,10.16,0.676,81.772552
