date, MSFT, AAPL, AMZN, GOOG, BRK-A, FB, BABA, JNJ, JPM, XOM, V, WMT, BAC, RDS-A, UNH, PFE, PG, BA, CVX, WFC, MA, VZ, INTC, T, CHL, CSCO, KO, HD, NVS, MRK, TM, PTR, TSM, ORCL, CMCSA, HSBC, DIS, PEP, NFLX, C, BUD, UL, TOT, UN, BP, MCD, NKE, ABT, LLY, ADBE, PM, SAP, IBM, ABBV, BBL, BHP, CRM, MDT, UNP, DWDP, AMGN, MMM, AVGO, HON, RY, PYPL, SNY, UTX, ACN, TD, SNP, GSK, TXN, TMO, ITUB, PBR, RIO, AZN, DEO, NVO, UPS, FOX, FOXA, MO, COST, NVDA, LFC, AXP, NEE, SBUX, BKNG, GILD, GE
1/3/2017,59.915661,112.140007,753.669983,786.140015,245850,116.860001,88.599998,109.924828,82.228661,83.149696,78.282051,65.378029,21.77914,48.100735,156.930023,30.390316,78.248734,149.024048,108.049889,52.43478,103.868095,49.180061,34.50148,38.050098,48.826439,28.396254,39.088184,128.383881,67.848892,56.625378,111.206184,70.80352,27.383366,37.339531,33.212471,35.720821,102.825844,98.532265,127.489998,58.019325,97.326546,37.705784,45.886051,37.807915,33.158531,113.734688,50.722309,37.304741,70.537247,103.480003,83.271561,83.904396,152.209076,57.250782,28.089882,32.370564,70.540001,67.544632,98.147758,54.797447,141.34671,168.305298,169.420364,106.181145,60.981018,40.25,37.755859,105.261681,112.13504,45.278454,62.65451,34.406872,69.419014,142.760208,6.619349,10.724895,34.915485,25.391554,99.116188,33.951614,108.110649,27.392584,28.106148,61.948483,149.752625,101.331375,12.71659,72.79377,112.45031,52.834232,1477.569946,69.845268,29.364519
1/4/2017,59.647575,112.014503,757.179993,786.900024,246600,118.690002,90.510002,109.74453,82.380318,82.234871,78.922089,65.758911,22.185143,48.588531,157.377151,30.657383,78.527542,150.59053,108.022377,52.481606,104.853638,49.125996,34.32238,37.828979,49.325138,28.227455,38.947922,129.521378,67.653259,56.606548,113.68264,70.83194,27.374023,37.523571,33.606884,36.061527,104.144119,98.720566,129.410004,58.804539,97.959625,38.040619,46.111557,38.096531,33.411587,113.601585,51.785934,37.600883,70.650711,104.139999,82.532211,84.254402,154.093567,58.058044,28.089882,32.501724,72.800003,68.175987,98.741302,55.235062,143.3535,168.560501,168.213898,106.47361,62.439766,41,37.599388,105.328163,112.404648,46.233315,62.541466,34.628334,69.334099,144.240799,6.705956,10.695187,35.139538,25.593147,100.351952,34.197372,108.138824,27.637159,28.399738,62.150005,149.780731,103.695534,12.745296,73.987114,112.78183,53.445148,1487.290039,71.936119,29.373779
1/5/2017,59.647575,112.584129,780.450012,794.02002,244852,120.669998,94.370003,110.892738,81.622009,81.008972,79.847702,65.901741,21.924143,49.015354,157.639572,30.952076,79.047943,150.67598,107.554787,51.666992,105.663483,49.234119,34.265808,37.722847,50.710419,28.293098,39.041431,127.991959,69.004082,56.587719,112.979111,73.65461,27.841158,37.426704,33.741566,35.956692,104.085953,98.58876,131.809998,57.779934,99.430603,38.338245,46.67984,38.440998,33.65591,113.810738,51.77618,37.92569,71.47332,105.910004,83.180267,85.411362,153.583755,58.498356,28.261473,32.807762,72.790001,67.755089,97.774376,54.987713,143.456635,167.983887,165.563431,106.711235,62.717197,41.060001,38.197666,105.755547,110.71965,46.57888,64.593719,35.195282,68.796326,144.459427,6.891544,10.992275,35.238117,26.289562,101.540154,35.029144,108.195183,27.725208,28.380161,62.223289,152.733978,101.063156,13.137605,73.075119,112.715523,53.893784,1503.699951,71.587646,29.206993
1/6/2017,60.164589,113.839249,795.98999,806.150024,245394,123.410004,93.889999,110.361336,81.631485,80.963234,80.950539,64.997162,21.924143,48.597244,157.863144,30.832354,79.020065,151.046234,107.123878,51.535908,106.423943,48.503292,34.388363,36.971249,49.943897,28.349365,39.032078,127.638306,68.463753,56.738346,112.688309,73.711433,27.682333,37.242672,33.799274,35.947956,105.636887,98.447517,131.070007,57.981026,98.620636,38.07782,46.138622,38.236187,33.080002,114.818604,52.605606,38.95742,71.548965,108.300003,83.828339,86.014153,154.339386,58.516705,27.866806,32.318096,73.800003,69.70652,98.789185,54.645233,147.020081,168.475433,167.757874,108.328896,62.708252,41.450001,37.111561,106.895264,111.980995,46.762733,64.915466,34.885231,69.956779,146.337418,6.866799,10.764507,34.404663,26.051313,101.131416,34.63216,108.41127,28.224144,28.88905,62.498093,152.658981,102.414116,12.879254,73.220657,112.383995,54.533337,1520.569946,71.097893,29.290384
1/9/2017,59.973103,114.88195,796.919983,806.650024,243111,124.900002,94.720001,110.342361,81.688354,79.627571,80.497597,65.425652,21.798471,47.560665,157.416016,30.823147,78.434601,150.305725,106.207031,50.786842,106.216545,47.975094,34.51091,36.505978,50.008545,28.302477,38.639324,128.383881,69.097244,57.519711,112.322472,74.526024,28.065382,37.804459,34.068638,35.519901,105.035889,97.411835,130.949997,57.665028,98.629944,38.310337,45.651527,38.468929,32.55645,114.504837,52.088436,38.919216,72.116295,108.57,83.344574,86.879448,152.627838,58.901985,27.832489,32.221909,73.959999,70.61528,98.052017,54.978199,148.951843,167.567947,168.118881,107.43325,62.591911,41.400002,37.70063,105.898018,110.729271,46.569691,65.045906,34.929523,70.136024,146.556061,6.910103,10.724895,34.377777,26.142948,101.293007,34.499836,107.819405,28.145882,28.840117,62.241611,150.915161,106.566307,12.821843,73.599022,112.099838,55.554703,1529.640015,71.427521,29.15139
1/10/2017,59.953957,114.997818,795.900024,804.789978,242077,124.349998,96.75,110.228485,81.925323,78.612083,80.064323,64.968582,22.175476,47.360317,157.056412,30.795519,77.588921,151.017731,105.400215,51.142639,105.98938,48.047943,34.444923,36.514923,50.322544,28.490034,38.377495,130.09491,69.041351,56.408855,112.341232,75.549011,28.093409,37.446083,34.111927,35.598522,105.055283,96.008942,129.889999,57.674603,98.155136,38.022015,45.660545,38.068596,32.381927,114.333694,51.824974,39.444633,72.116295,108.260002,82.623474,86.169708,150.688721,58.77356,29.351093,33.717148,73.980003,71.648399,99.009361,54.864033,148.876816,166.915741,171.538849,107.70742,62.923023,41.080002,37.78347,105.670067,110.787041,46.64323,65.915504,34.8498,70.381325,146.844193,6.903918,10.913053,36.743713,26.344542,100.684639,34.036682,107.020897,28.292625,29.035843,62.030933,151.562073,105.761688,13.032352,74.365486,112.317711,55.249241,1535.25,70.645821,29.067999
1/11/2017,60.499687,115.615723,799.02002,807.909973,243160,126.089996,96.940002,108.871513,82.541443,79.41716,80.546806,65.254257,22.301144,48.318504,157.357712,30.233759,77.830551,151.331055,106.289558,51.31118,106.47332,47.774742,34.831409,36.335972,50.636543,28.274342,38.386845,129.71254,67.746414,58.018654,112.481934,75.880531,28.186836,37.88195,34.491913,36.122673,106.082764,95.858292,130.5,57.416054,97.894455,38.273136,46.192741,38.254799,32.765869,114.932693,51.415127,39.497509,71.161293,108.989998,82.550461,86.325272,152.718872,56.651665,30.037466,34.434162,75.769997,71.208366,99.82312,55.425331,146.870026,168.154022,170.44635,107.853653,63.800068,41.279999,37.544163,105.423119,111.807686,47.010929,66.254654,34.592892,70.947388,145.294067,7.077133,11.428003,37.371048,25.822231,101.616196,33.668056,107.265144,28.801344,29.43708,61.966805,151.449554,104.460411,13.30027,74.617737,113.103874,55.45924,1536.109985,69.477966,29.160658
1/12/2017,59.944386,115.132988,813.640015,806.359985,242850,126.620003,95.900002,108.767128,81.745232,78.987183,80.123405,64.721024,22.156145,48.527557,157.814575,30.021948,77.914177,150.277222,106.500435,51.030285,107.362144,47.975094,34.605167,36.693874,50.553421,28.171186,38.293331,129.110367,67.81163,58.564663,112.228661,75.539536,27.364683,37.969128,34.352425,35.974163,104.231361,95.88652,129.179993,56.71703,98.629944,38.663776,46.733963,38.608582,32.949108,116.092682,51.132145,39.151382,72.948364,108.589996,82.614349,86.908615,152.900955,56.781395,30.234802,34.748951,75.209999,71.849274,100.234772,55.453873,145.688492,167.728668,169.914368,107.506355,63.907459,41.560001,37.387688,105.252182,111.480309,47.010929,66.559006,34.557465,70.61718,145.045654,7.120438,11.378489,37.756409,25.877209,102.062973,33.327785,107.011505,28.449154,29.17285,61.838581,151.758942,102.751862,13.099332,74.588631,113.18911,55.392422,1538.589966,69.09182,29.086529
1/13/2017,60.030556,114.930237,817.140015,807.880005,242500,128.339996,96.269997,108.748138,82.181259,78.99633,79.926468,63.921162,22.243143,48.327209,157.270218,29.948277,78.072174,150.789871,106.702133,51.788719,107.35228,47.856705,34.68058,36.649139,50.932064,28.199318,38.227875,129.081665,67.448303,58.68705,112.38813,76.505684,27.504822,38.027241,35.001759,35.956692,104.745094,95.613495,133.699997,57.100056,98.555466,38.561466,46.535511,38.571339,32.861855,115.522202,51.639557,39.353294,73.184761,108.529999,82.513954,86.95723,152.345612,57.439274,30.414974,34.836391,75.639999,71.830147,100.761322,54.987713,146.401138,167.681412,171.424835,107.908478,64.399689,41.599998,38.170052,104.68232,112.60685,47.02013,67.967758,34.743492,70.75869,145.363617,6.941036,11.210139,37.675751,26.188765,102.405182,33.77203,107.321518,28.615467,29.388149,61.902695,151.749557,102.74192,13.175879,74.33638,112.762894,55.2206,1545.819946,68.818695,29.058733
1/17/2017,59.867786,115.857086,809.719971,804.609985,239166,127.870003,96.120003,109.004356,79.195435,79.920319,80.015106,65.149498,21.315136,48.379471,156.16214,29.524652,79.187355,149.688614,106.610451,50.356121,107.056007,48.029739,34.69001,36.783352,51.042885,28.124296,38.545822,129.932373,67.066345,57.877441,111.074867,76.638298,27.672991,37.872261,34.900749,35.974163,104.657867,96.216087,132.889999,55.903091,98.918556,38.700981,46.463348,38.552719,32.669884,116.710693,52.351906,39.324448,72.664711,108,84.302986,87.151672,152.846344,57.318821,30.449297,34.845135,75.019997,72.528458,98.961502,54.540585,145.16333,167.558502,170.15184,107.140785,64.122246,41.27,37.70063,104.444885,111.721016,46.753548,68.924309,34.814362,70.27755,144.1315,7.089506,11.160625,38.052151,26.087967,101.587685,34.21627,107.161812,28.615467,29.290285,62.727093,153.577759,100.437355,13.089763,74.316978,113.871086,55.363789,1540.130005,67.726189,28.975336
